cluster,incident_type,lat,lng
2,FOOT PATROL,38.9515,-92.31114
2,LAW ALARM,38.95287,-92.33482
2,PARKING VIOLATION,38.96377,-92.3234
2,DISTURBANCE,38.96015,-92.32769
2,911 CHECKS,38.96049,-92.32731
2,AUTO THEFT,38.9589,-92.34212
2,LAW ALARM,38.96336,-92.33143
2,FOOT PATROL,38.9504,-92.33325
2,CHECK SUBJECT,38.958,-92.3388
2,VANDALISM,38.96192,-92.33852
2,BURGLARY,38.95188,-92.32662
2,911 CHECKS,38.94916,-92.32267
2,SUSPICIOUS PERSON,38.94553,-92.34112
2,ASSIST MEDICS,38.95971,-92.3452
2,DISTURBANCE,38.9525,-92.3227
2,DISTURBANCE,38.9578,-92.31902
2,CHECK SUBJECT,38.95235,-92.3261
2,LAW ALARM,38.95195,-92.32662
2,ASSIST OFFICER,38.95248,-92.33047
2,RECOVER PROPERTY,38.95705,-92.32109
2,TRAFFIC STOP,38.9613,-92.3263
2,TRESPASSING,38.95166,-92.32582
2,SUSPICIOUS PERSON,38.94122,-92.33165
2,PEACE DISTURBANCE,38.96387,-92.32621
2,TRAFFIC STOP,38.964,-92.3212
2,SUSPICIOUS PERSON,38.9552,-92.3239
2,CHECK SUBJECT,38.9494,-92.3255
2,PEACE DISTURBANCE,38.96159,-92.32706
2,TRAFFIC STOP,38.964,-92.3247
2,TRAFFIC OBSERVATION,38.96373,-92.32424
2,TRAFFIC STOP,38.9516,-92.3297
2,FOOT PATROL,38.9515,-92.3255
2,CHECK SUBJECT,38.951,-92.3276
2,CHECK OPEN BUSINESS,38.9506,-92.32686
2,CHECK OPEN BUSINESS,38.95062,-92.32666
2,TRAFFIC STOP,38.9537,-92.3329
2,FOOT PATROL,38.9515,-92.3255
2,SUSPICIOUS PERSON,38.9379,-92.3343
2,911 CHECKS,38.95813,-92.34125
2,LIQUOR LAW VIOLATION,38.94886,-92.33121
2,SUSPICIOUS INCIDENT,38.94924,-92.32605
2,CHECK OPEN BUSINESS,38.94886,-92.33121
